Market-TC,Location,GeoKey
China-Diplomatic,"Beijing, Shanghai","23-DI-1259, 23-DI-4205"
China-Ferries,"Jiangmen, Quanzhou, Zhongshan, Xiamen Port, Rizhao Port, Shanghai, Lianhuashan Port, Jiuzhou, Guangzhou, Shekou Port, Rongcheng, Tianjin Port, Dalian Port, Donggang Port, Taiping Port, Qingdao Port, Weihai","23-FE-1560, 23-FE-2908, 23-FE-1869, 23-FE-1865, 23-FE-1755, 23-FE-1787, 23-FE-1601, 23-FE-1562, 23-FE-1696, 23-FE-1789, 23-FE-1758, 23-FE-1835, 23-FE-1444, 23-FE-1454, 23-FE-1818, 23-FE-1746, 23-FE-1860"
China-Shipchandling,"Tianjin Port, Ningde, Cangzhou, Xiamen Port, Shanghai, Caofeidian, Ningbo Port, Guangzhou Port, Shenzhen Chiwan Port, Long Kou Port, Zhoushan, Rongcheng, Qinhuangdao Port, Pingtan, Rizhao Port, Quanzhou Port, Shenzhen, Dalian Port, Tangshan, Yingkou City, Jinzhou, Yantai, Fuzhou Port, Lian Yun Gang Port, Qinzhou Port, Fangcheng Port, Wei Hai Port, Nanjing, Taizhou Port, Jiangsu","23-SH-2417, 23-SH-4210, 23-SH-4209, 23-SH-2452, 23-SH-2374, 23-SH-4208, 23-SH-2288, 23-SH-2167, 23-SH-2380, 23-SH-2246, 23-SH-2467, 23-SH-2351, 23-SH-2335, 23-SH-3579, 23-SH-2343, 23-SH-2337, 23-SH-4254, 23-SH-2115, 23-SH-2912, 23-SH-2455, 23-SH-2204, 23-SH-2453, 23-SH-2151, 23-SH-2238, 23-SH-2336, 23-SH-2138, 23-SH-2445, 23-SH-2278, 23-SH-2407, 23-SH-2913"
Colombia-Airlines,Bogota,24-AR-827
Colombia-Airports,"San Andres, Cali, Bogota, Medellin Jose Maria Cordova, Cartagena de Indias","24-AI-624, 24-AI-133, 24-AI-103, 24-AI-449, 24-AI-141"
Colombia-Shipchandling,Cartagena de Indias,24-SH-4111
Comoros-Airports,Moroni,136-AI-3470
Comoros-Diplomatic,Moroni,136-DI-1273
"Congo, Rep. Dem.-Airports","Lubumbashi, Kinshasa","161-AI-3806, 161-AI-348"
"Congo, Rep. Dem.-Diplomatic",Kinshasa,161-DI-3025
"Congo, Rep. Dem.-Military",Kinshasa,161-MI-1900
Congo-Diplomatic,Brazzaville,25-DI-1295
Congo-Ferries,Brazzaville,25-FE-3159
Congo-Shipchandling,Pointe-Noire,25-SH-3072
Costa Rica-Airports,"San Jose, Liberia","26-AI-180, 26-AI-3045"
Croatia-Airports,"Dubrovnik, Split, Pula, Zagreb","27-AI-203, 27-AI-680, 27-AI-580, 27-AI-785"
Croatia-Ferries,"Split, Dubrovnik","27-FE-1800, 27-FE-1461"
Croatia-Military,Split,27-MI-2010
Croatia-Shipchandling,"Rijeka, Split","27-SH-2347, 27-SH-2391"
Curazao-Airports,Curacao,211-AI-183
Curazao-Shipchandling,Willemstadt,211-SH-2113
Cyprus-Diplomatic,Limassol,28-DI-1292
Cyprus-Ferries,Limassol Port,28-FE-1605
Cyprus-Military,Limassol,28-MI-1952
Cyprus-Shipchandling,Limassol,28-SH-2241
Czech Republic-Airlines,Prague,29-AR-914
Czech Republic-Airports,"Ostrava, Prague, Brno, Karlovy Vary","29-AI-2719, 29-AI-570, 29-AI-3466, 29-AI-333"
Czech Republic-Diplomatic,Prague,29-DI-1313
Denmark-Airlines,Copenhagen,30-AR-829
Denmark-Airports,"Billund, Copenhagen, Aarhus, Aalborg, Faroe Islands, Greenland","30-AI-100, 30-AI-175, 30-AI-3455, 30-AI-3, 30-AI-224, 30-AI-19"
Denmark-Diplomatic,Copenhagen,30-DI-1274
Denmark-Ferries,"Hirtshals, Ronne, Nynashamn, Copenhagen","30-FE-1531, 30-FE-1759, 30-FE-3857, 30-FE-1426"
Denmark-Military,Karup,30-MI-1941
Denmark-Shipchandling,"Hirtshals, Norresundby, Frederikshavn, Fredericia, Esbjerg, Copenhagen, Vejle, Nexo/Bornholm, Torshavn, Thyboron, Hanstholm, Faroe Islands","30-SH-2184, 30-SH-2290, 30-SH-2145, 30-SH-2144, 30-SH-2135, 30-SH-2109, 30-SH-2436, 30-SH-2286, 30-SH-2419, 30-SH-2416, 30-SH-2179, 30-SH-2139"
Djibouti-Airports,Djibouti,31-AI-3074
Djibouti-Diplomatic,Djibouti,31-DI-3979
Djibouti-Military,Djibouti,31-MI-4294
Djibouti-Shipchandling,Djibouti,31-SH-3163
Dominican Republic-Airports,"Santo Domingo Las Americas, Puerto Plata, La Romana, Samana El Catey, Santiago Cibao, Punta Cana - Higuey","32-AI-388, 32-AI-578, 32-AI-2675, 32-AI-380, 32-AI-634, 32-AI-584"
Dominican Republic-Borders,Punta Cana (Hotels),32-BO-1007
Dominican Republic-Ferries,"La Romana Port, Puerto Plata Port, Santo Domingo Port","32-FE-1585, 32-FE-3557, 32-FE-1773"
Dominican Republic-Shipchandling,Caucedo Port,32-SH-2946
Ecuador-Airports,"Guayaquil, Quito","34-AI-268, 34-AI-589"
Ecuador-Shipchandling,Manta,34-SH-4207
Egypt-Airlines,Cairo,33-AR-820
Egypt-Airports,"Luxor, Marsa Aalam, Alexandria, Hurgada, Cairo, Aswan, Sharm El Sheikh","33-AI-413, 33-AI-444, 33-AI-25, 33-AI-295, 33-AI-131, 33-AI-55, 33-AI-658"
Egypt-Borders,"Taba, Saloum","33-BO-1201, 33-BO-1169"
Egypt-Diplomatic,"Cairo, Aswan, Luxor, Nowebai, Safaga, Maadi, Nasr City, Hurgada, Sharm El Sheikh, Said Port, Damieta, Salah Salem, Alexandria, Obour, Sahl Hashish","33-DI-1270, 33-DI-1258, 33-DI-1296, 33-DI-1305, 33-DI-3689, 33-DI-1297, 33-DI-1302, 33-DI-1287, 33-DI-1322, 33-DI-1311, 33-DI-1276, 33-DI-1320, 33-DI-1251, 33-DI-1306, 33-DI-3986"
Egypt-Shipchandling,"Alexandria, Said Port, Suez, Damietta","33-SH-2040, 33-SH-2327, 33-SH-2400, 33-SH-2116"
El Salvador-Airports,San Salvador Comalapa,97-AI-628
Eritrea-Airports,Asmara,35-AI-217
Estonia-Diplomatic,Tallinn,36-DI-3672
Estonia-Ferries,Tallinn (Estonia/Sweden/Finland - ferries,36-FE-4235
Estonia-Shipchandling,"Tallinn, Parnu","36-SH-2409, 36-SH-2305"
Ethiopia-Airlines,Addis Ababa,37-AR-843
Ethiopia-Airports,Addis Ababa,37-AI-11
Ethiopia-Diplomatic,Addis Ababa,37-DI-3880
Finland DP-Airports,Helsinki-Vantaa,265-AI-4042
Finland-Airports,Helsinki-Vantaa,38-AI-287
Finland-Diplomatic,Helsinki,38-DI-1285
Finland-Ferries,"Helsinki, Turku, Aland, Mariehamn, Naantali, Helsinki, Vuosaari, Helsinki","38-FE-1524, 38-FE-1848, 38-FE-4231, 38-FE-1465, 38-FE-4333, 38-FE-1809, 38-FE-4232, 38-FE-1484"
Finland-Shipchandling,"Hanko, Helsinki, Hamina, Kotka, Rauma, Oulu","38-SH-2178, 38-SH-2183, 38-SH-2176, 38-SH-2219, 38-SH-2339, 38-SH-2298"
France DP-Airports,"Strasbourg, Nice, Montpellier, Marseille, Grenoble, Paris Charles De Gaulle, Paris Orly, Chambery, Tarbes - Lourdes, Nantes, Toulouse, La Rochelle, Bordeaux, Beauvais, Lille, Lyon Saint Exupery","209-AI-687, 209-AI-501, 209-AI-468, 209-AI-445, 209-AI-262, 209-AI-150, 209-AI-523, 209-AI-144, 209-AI-705, 209-AI-487, 209-AI-727, 209-AI-377, 209-AI-107, 209-AI-80, 209-AI-395, 209-AI-616"
France-Airlines,Paris Charles De Gaulle,39-AR-2671
France-Airports,"Paris Charles De Gaulle, Toulouse, La Rochelle, Lyon Saint Exupery, Montpellier, Strasbourg, Tarbes - Lourdes, Beauvais, Grenoble, Lille, Marseille, Bordeaux, Nantes, Paris Orly, Chambery, Nice","39-AI-151, 39-AI-729, 39-AI-378, 39-AI-617, 39-AI-469, 39-AI-688, 39-AI-706, 39-AI-81, 39-AI-263, 39-AI-396, 39-AI-446, 39-AI-108, 39-AI-488, 39-AI-524, 39-AI-145, 39-AI-502"
France-Diplomatic,Paris,39-DI-1308
France-Ferries,"Granville, Marseille, Saint Malo","39-FE-3432, 39-FE-1627, 39-FE-4249"
France-Military,"Brest, Toulon","39-MI-2838, 39-MI-3609"
France-Shipchandling,"Brest, Toulon, Marseille, Lorient, Penmarch, Calais, Barentin, St. Herblain","39-SH-2079, 39-SH-2420, 39-SH-2259, 39-SH-2247, 39-SH-2310, 39-SH-2088, 39-SH-2063, 39-SH-2394"
French Guyana-Airports,"Cayenne, Cayenne (REC)","226-AI-3685, 226-AI-15"
Gabon-Airports,Gabon,42-AI-242
Gabon-Diplomatic,Libreville,42-DI-3811
Gambia-Airports,Banjul,139-AI-3441
Georgia-Airports,"Kutaisi, Tbilisi, Batumi","43-AI-3662, 43-AI-708, 43-AI-77"
Georgia-Borders,"Georgia/Azerbaijan, Georgia/Armenia, Georgia/Turkey, Georgia/Russia","43-BO-1026, 43-BO-1028, 43-BO-1027, 43-BO-2752"
Georgia-Diplomatic,Tbilisi,43-DI-2715
Georgia-Ferries,"Poti Sea Port, Batumi","43-FE-1731, 43-FE-1379"
Germany-Airlines,"Hannover, Duesseldorf, Frankfurt, Berlin, Cologne","44-AR-857, 44-AR-841, 44-AR-847, 44-AR-813, 44-AR-2815"
Germany-Airports,"Bremen, Munich, Memmingen, Nuernberg, Berlin Schoenefeld, Erfurt, Leipzig, Frankfurt, Cologne, Weeze, Munster-Osnabruck, Hamburg, Duesseldorf, Stuttgart, Karlsruhe Baden-Baden, Dresden, Berlin Brandenburg, Berlin Tegel, Friedrichshafen, Dortmund, Hannover, Rostock, Hahn, Paderborn","44-AI-116, 44-AI-475, 44-AI-3089, 44-AI-515, 44-AI-95, 44-AI-216, 44-AI-391, 44-AI-232, 44-AI-170, 44-AI-768, 44-AI-477, 44-AI-277, 44-AI-209, 44-AI-689, 44-AI-2817, 44-AI-200, 44-AI-3899, 44-AI-97, 44-AI-2702, 44-AI-199, 44-AI-280, 44-AI-611, 44-AI-273, 44-AI-539"
Germany-Borders,Helgoland,44-BO-1048
Germany-Diplomatic,"Cuxhaven, Bremen","44-DI-1275, 44-DI-1266"
Germany-Ferries,"List, Romo, Passau, Heringsdorf, Deggendorf, Hoernum, Puttgarden, Kiel, Neumuenster, Luebeck, Rostock, Travemunde, Bremen, Hamburg, Rodby","44-FE-1606, 44-FE-1757, 44-FE-1708, 44-FE-1526, 44-FE-1446, 44-FE-1540, 44-FE-1744, 44-FE-2691, 44-FE-2861, 44-FE-4193, 44-FE-1762, 44-FE-1608, 44-FE-2864, 44-FE-2951, 44-FE-2693"
Germany-Military,"Hameln, Mullheim, Dulmen, Emden, Sennelager, Detmold, Hamburg, Wesel, Gutersloh, Wegberg, Herford, Munster, Lotte, Osnabrueck, Fallingbostel, Niederkruchten, Sonthofen, Bergen Hohne, Celle, Neumuenster, Geilenkirchen, Bielefeld, Ramstein-Miesenbach","44-MI-1917, 44-MI-1963, 44-MI-1901, 44-MI-2694, 44-MI-2002, 44-MI-1897, 44-MI-4058, 44-MI-3985, 44-MI-1915, 44-MI-2030, 44-MI-1918, 44-MI-1967, 44-MI-1955, 44-MI-1987, 44-MI-1908, 44-MI-1985, 44-MI-2009, 44-MI-1876, 44-MI-1890, 44-MI-2863, 44-MI-1910, 44-MI-1877, 44-MI-1996"
Germany-Shipchandling,"Busum, Cuxhaven, Hamburg, Rostock, Emden, Burg Auf Fehmarn, Bremerhaven, Neumuenster, Kiel, Schiffdorf, Bremen","44-SH-2085, 44-SH-2114, 44-SH-2175, 44-SH-2354, 44-SH-2133, 44-SH-2083, 44-SH-2077, 44-SH-2862, 44-SH-2213, 44-SH-3533, 44-SH-2076"
Ghana-Airports,Accra,45-AI-9
