Market-TC,Location,GeoKey
Trinidad and Tobago-Shipchandling,Port of Spain,167-SH-2959
Tunisia-Airlines,Tunis,115-AR-943
Tunisia-Airports,"Jerba, Sfax, Tunis, Enfidha, Tozeur, Monastir","115-AI-313, 115-AI-651, 115-AI-740, 115-AI-214, 115-AI-731, 115-AI-464"
Tunisia-Borders,"Malloula, Ras Ejdir, Tunis","115-BO-4289, 115-BO-4290, 115-BO-1213"
Tunisia-Diplomatic,Tunis,115-DI-1332
Tunisia-Ferries,La Goulette Port,115-FE-1581
Tunisia-Shipchandling,La Goulette Port,115-SH-2225
Turkey-Airports,"Bodrum Airport, Antalya Gazipasa Airport, Antalya Airport, Adana Airport, Gaziantep Airport, Denizli Cardak Airport, Trabzon Airport, Istanbul Asia Airport, Istanbul Airport, Izmir Airport, Diyarbakir Airport, Kutahya Airport, Konya Airport, Ankara Airport, Hatay Airport, Samsun Airport, Isparta Airport, Dalaman Airport, Kayseri Airport","116-AI-102, 116-AI-2776, 116-AI-40, 116-AI-10, 116-AI-247, 116-AI-3637, 116-AI-732, 116-AI-306, 116-AI-3635, 116-AI-311, 116-AI-4167, 116-AI-3498, 116-AI-354, 116-AI-37, 116-AI-2681, 116-AI-622, 116-AI-2884, 116-AI-186, 116-AI-338"
Turkey-Borders,"Van Setur Kapikoy Turkey Iran Border, Cildir Aktas Turkey Georgia Border, Kapikule Turkey Bulgaria Border, Dilucu Turkey Nakhchivan Border, Pazarkule Turkey Greece Border, Derekoy Turkey Bulgaria Border, Habur  Turkey Iraq Border, Gurbulak Turkey Iranian Border, Ipsala Turkey Greece Border, Hamzabeyli Turkey Bulgaria Border, Sarp Turkey Georgia Border, Esendere Turkey Iran Border, Turkgozu Turkey Georgia Border","116-BO-3737, 116-BO-3524, 116-BO-1079, 116-BO-3525, 116-BO-1139, 116-BO-1011, 116-BO-1043, 116-BO-1042, 116-BO-1068, 116-BO-1045, 116-BO-1173, 116-BO-3570, 116-BO-1150"
Turkey-Diplomatic,Ankara Diplomatic,116-DI-1254
Turkey-Ferries,"Kusadasi Port, Bodrum Icmeler Port, Bodrum Turgutreis Port, Bodrum Port, Bodrum Yalikavak Port, Cesme Port, Marmaris Port, Istanbul Port, Ayvalik Port, Fethiye Port, Izmir Ferries Setur Seferihisar","116-FE-1577, 116-FE-1396, 116-FE-1400, 116-FE-1399, 116-FE-2707, 116-FE-1415, 116-FE-1624, 116-FE-1553, 116-FE-2781, 116-FE-4279, 116-FE-3736"
Turkey-Military,"Istanbul Military, Izmir Military","116-MI-1925, 116-MI-1935"
Turkey-Shipchandling,"Canakkale Port, Istanbul Zeyport Port","116-SH-2089, 116-SH-2202"
Uganda-Airports,Entebbe,168-AI-215
Uganda-Military,Entebbe,168-MI-3179
Ukraine-Airlines,Kyiv Airlines,120-AR-3502
Ukraine-Airports,"Kyiv - Zhulyany, Dnipropetrovsk, Kherson, Lviv, Zaporizhya, Odessa, Kyiv, Kharkiv","120-AI-369, 120-AI-194, 120-AI-3957, 120-AI-414, 120-AI-788, 120-AI-518, 120-AI-368, 120-AI-344"
Ukraine-Borders,"Ukraine/Russia, Ukraine/Belarus, Ukraine/Hungary, Ukraine/Poland, Ukraine/Slovakia, Ukraine/Romania, Ukraine/Moldova","120-BO-1223, 120-BO-1218, 120-BO-1219, 120-BO-1221, 120-BO-1224, 120-BO-1222, 120-BO-1220"
Ukraine-Ferries,Chernomorsk,120-FE-3970
United Arab Emirates-Airlines,"Sharjah, Abu Dhabi","121-AR-931, 121-AR-795"
United Arab Emirates-Airports,"Dubai, Sharjah, Ras El Khaymah, Abu Dhabi","121-AI-201, 121-AI-657, 121-AI-594, 121-AI-6"
United Arab Emirates-Borders,Dubai,121-BO-3198
United Arab Emirates-Diplomatic,Dubai,121-DI-3440
United Arab Emirates-Ferries,"Fujairah Port, Sharjah - Khaled Port, Khorfakan Port, Hamriyah Sharjah Port, Jebel Ali","121-FE-1499, 121-FE-1788, 121-FE-1572, 121-FE-1517, 121-FE-1558"
United Arab Emirates-Shipchandling,"Dubai, Fujairah Port, Sharjah - Khaled Port, Sharjah, Jebel Ali","121-SH-2126, 121-SH-2148, 121-SH-2378, 121-SH-2377, 121-SH-2203"
Uruguay-Airports,"Punta del Este, Montevideo","122-AI-586, 122-AI-140"
Uruguay-Ferries,Colonia Port,122-FE-1424
Uruguay-Shipchandling,Montevideo Port,122-SH-2270
Uzbekistan-Airports,"Samarkand, Tashkent","123-AI-620, 123-AI-707"
Vietnam-Airlines,"Ho Chi Minh, Hanoi","125-AR-3594, 125-AR-3676"
Vietnam-Airports,"Danang, Hanoi, Cam Ranh, Haiphong, Phu Quok, Danang Downtown Shop, Ho Chi Minh","125-AI-189, 125-AI-281, 125-AI-2924, 125-AI-3534, 125-AI-3893, 125-AI-4250, 125-AI-290"
Vietnam-Borders,"Ha Giang, Moc Bai, Langson, Mongcai, Quang Binh, Laocai","125-BO-3456, 125-BO-1113, 125-BO-1091, 125-BO-1123, 125-BO-3595, 125-BO-1095"
Vietnam-Ferries,Halong Bay,125-FE-2778
Vietnam-Shipchandling,"Saigon Port, Haiphong Port, Vung Tau Port","125-SH-2358, 125-SH-2171, 125-SH-3589"
"Virgin Islands, Brit-Ferries",Tortola,170-FE-3040
Zambia-Airports,Lusaka,171-AI-2768
Zimbabwe-Airports,Harare,172-AI-792
